child_id,parent_id,generation,birth_tick
1199163070496,1198352508944,1,679
1199163072560,1198352379744,1,926
1199163072752,1198352379744,1,927
1199163073232,1198352379744,1,928
1199163070832,1199163073568,1,1260
1199163074192,1199163073568,1,1262
1199163074192,1199163071888,1,1488
1199163070880,1199163072320,1,1860
1199163071840,1199161997936,1,1938
1199163071264,1199163071840,2,1946
1199163074096,1199163072032,1,1967
1199163070736,1199163074672,1,2199
1199163070592,1199161997936,1,2887
1199163070736,1199161984016,1,3317
1199163072080,1199161984016,1,3354
1199163071936,1199163072080,2,3358
1199163070880,1199160962672,1,3558
1199163071696,1199163072944,1,3682
1199163075104,1198352509184,1,3683
1199163075872,1199163071168,1,3684
1199163076064,1198352509184,1,3684
1199163075968,1198352509184,1,3685
1199163072608,1199163075872,2,3696
1198352509184,1199163071696,1,4199
1199163071888,1199163070496,1,4293
1199163074624,1199161663872,1,4369
1199163072320,1199163074624,2,4400
1199163071936,1199163072320,3,4417
1199163073712,1199163072320,3,4425
1199163074624,1198352964480,1,4713
1199163071936,1199161663872,1,4748
1199163076880,1199163077024,1,4802
1199163072320,1199163070928,1,4888
1199163071120,1198352379744,1,5500
1199163075872,1199161995776,1,5778
1199163076784,1199163076208,1,5871
1199163075824,1199163076400,1,6047
1199163076832,1199161995776,1,6144
1199163075440,1199161995776,1,6146
1199163075248,1199161995776,1,6176
1199163078464,1199161995776,1,6498
1199163074864,1199161995776,1,6500
1199163074624,1199161664064,1,7446
1199163079088,1199163075872,1,7498
1199163076400,1199161997936,1,7683
1199163076496,1198352509184,1,7730
1199163078752,1198352509184,1,7764
1199163077648,1198352509184,1,8012
1199163077552,1199161997936,1,8024
1199163077648,1198352509184,1,8049
1199163077456,1198352509184,1,8229
1199163077792,1199163072032,1,8248
1199163080000,1198349074112,1,8666
1199163078032,1199161997936,1,8686
1199163072320,1199161663872,1,9321
1199163080000,1198352509184,1,9589
1199163077264,1199160963056,1,9725
1199163080000,1199163080672,1,9740
